iter	Passed	Remaining
171	465	2240
172	467	2232
173	468	2225
174	470	2218
175	472	2211
176	474	2204
177	476	2198
178	477	2191
179	479	2184
180	480	2173
181	482	2167
182	483	2160
183	485	2153
184	487	2147
185	489	2140
186	490	2134
187	492	2128
188	494	2121
189	496	2115
190	497	2108
191	499	2102
192	501	2096
193	503	2090
194	505	2084
195	506	2079
196	508	2072
197	510	2067
198	512	2061
199	513	2055
200	515	2049
201	517	2043
202	519	2038
203	521	2033
204	522	2027
205	524	2021
206	526	2016
207	528	2010
208	529	2005
209	531	1999
210	533	1994
211	535	1989
212	536	1983
213	538	1978
214	540	1972
215	542	1967
216	543	1962
217	545	1956
218	547	1952
219	549	1946
220	550	1941
221	552	1936
222	554	1931
223	555	1926
224	557	1920
225	559	1916
226	561	1911
227	563	1906
228	564	1901
229	566	1897
230	568	1892
231	570	1887
232	571	1882
233	573	1877
234	575	1874
235	577	1870
236	579	1865
237	581	1860
238	582	1856
239	584	1851
240	586	1846
241	588	1842
242	590	1838
243	591	1833
244	593	1829
245	595	1824
246	597	1820
247	598	1815
248	600	1811
249	602	1806
250	604	1802
251	606	1798
252	607	1794
253	609	1790
254	611	1785
255	612	1781
256	614	1777
257	616	1772
258	618	1768
259	620	1764
260	621	1760
261	623	1756
262	625	1752
263	627	1748
264	628	1743
265	630	1739
266	632	1737
267	634	1733
268	636	1729
269	637	1724
270	639	1720
271	641	1716
272	643	1712
273	645	1709
274	646	1705
275	648	1701
276	650	1697
277	651	1693
278	653	1689
279	655	1685
280	657	1681
281	659	1678
282	661	1676
283	664	1674
284	666	1673
285	669	1671
286	671	1668
287	673	1665
288	675	1661
289	677	1657
290	678	1654
291	680	1650
292	682	1646
293	684	1642
294	685	1639
295	687	1635
296	689	1632
297	691	1628
298	693	1625
299	694	1621
300	696	1617
301	698	1614
302	700	1610
303	701	1607
304	703	1603
305	705	1600
306	707	1596
307	708	1592
308	710	1589
309	712	1585
310	714	1582
311	716	1579
312	717	1575
313	719	1571
314	721	1568
315	722	1564
316	724	1561
317	726	1557
318	728	1554
319	729	1550
320	731	1548
321	733	1544
322	735	1541
323	736	1537
324	738	1534
325	740	1531
326	742	1528
327	744	1525
328	746	1521
329	747	1518
330	749	1515
331	751	1511
332	753	1508
333	754	1505
334	756	1502
335	758	1499
336	760	1496
337	762	1492
338	764	1489
339	765	1486
340	767	1483
341	769	1480
342	771	1477
343	773	1474
344	775	1471
345	776	1468
346	778	1465
347	780	1462
348	782	1458
349	783	1455
350	785	1452
351	787	1450
352	790	1448
353	791	1445
354	793	1442
355	795	1438
356	797	1435
357	798	1432
358	800	1429
359	802	1427
360	805	1424
361	807	1422
362	809	1419
363	810	1416
364	812	1413
365	814	1410
366	816	1407
367	818	1404
368	819	1401
369	821	1398
370	823	1395
371	825	1392
372	826	1389
373	828	1386
374	830	1383
375	831	1380
376	833	1377
377	835	1374
378	836	1371
379	838	1368
380	840	1365
381	841	1362
382	843	1359
383	845	1356
384	847	1353
385	849	1351
386	851	1348
387	853	1345
388	854	1342
389	856	1339
390	858	1336
391	860	1333
392	861	1331
393	863	1328
394	865	1325
395	867	1322
396	868	1319
397	870	1316
398	872	1314
399	874	1311
400	876	1308
401	878	1306
402	879	1303
403	881	1300
404	883	1297
405	885	1294
406	886	1292
407	888	1289
408	890	1286
409	891	1283
410	893	1280
411	895	1277
412	896	1274
413	898	1271
414	900	1269
415	902	1266
416	904	1264
417	905	1261
418	907	1258
419	909	1255
420	911	1253
421	912	1250
422	914	1247
423	916	1244
424	918	1242
425	919	1239
426	921	1236
427	923	1233
428	924	1231
429	926	1228
430	928	1225
431	930	1222
432	931	1220
433	933	1217
434	935	1214
435	937	1212
436	938	1209
437	940	1206
438	942	1204
439	944	1201
440	945	1198
441	947	1196
442	949	1193
443	951	1191
444	953	1188
445	954	1185
446	956	1183
447	958	1180
448	960	1178
449	961	1175
450	963	1172
451	965	1170
452	967	1167
453	968	1165
454	970	1162
